,event,palestinian_deaths,israeli_deaths,year_start,year_end
0,1936 - 1939 Arab revolt in Palestine,5000,300,1936,1939
1,1948 Arab - Israeli War,15000,6000,1948,1949
2,1956 Suez Crisis,1000,231,1956,1956
3,1967 Six-Day War,20000,779,1967,1967
4,1970 Black September,3500,0,1970,1971
5,1973 Yom Kippur War,8000,2655,1973,1973
6,1975  - 1990 Lebanese Civil War,2000,657,1975,1990
7,1982 Lebanon War,2000,368,1982,1985
8,1987 - 1993 First Intifada,1162,160,1987,1993
9,2000 - 2005 Second Intifada,3298,1017,2000,2005
10,2006 Lebanon War,0,121,2006,2006
11,2008 - 2009 Gaza War,1391,13,2008,2009
12,2012 Gaza War,174,6,2012,2012
13,2014 Gaza War,2204,72,2014,2014
14,2021 Israel - Palestine crisis,313,14,2021,2021
15,Al-Qassam Brigades activities,13000,1200,2023,2023
